"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Update People Search (Find people Table) - 2026-02-13T07:12:49.564Z"
,"Bestuursacademie Nederland","Samen met klanten en partners bouwt de Bestuursacademie Nederland mee aan de professionalisering van het openbaar bestuur. Hierbij richten we ons op zowel de ontwikkeling van mensen als van organisaties. Via een compleet pakket aan vakopleidingen en praktijkgerichte cursussen leiden wij jaarlijks duizenden medewerkers op die werkzaam zijn binnen het openbaar bestuur, maar ook binnen semi-overheidsorganisaties. Daarnaast verzorgen wij advies op het gebied van Human Resources, organisatie- en teamontwikkeling, leiderschap en cultuurverandering.","Education Administration Programs","51-200 employees","Privately Held","Hilversum, Noord-Holland","Netherlands","bestuursacademie.nl","https://www.linkedin.com/company/bestuursacademie-nederland",
,"KNGF Koninklijk Nederlands Genootschap voor Fysiotherapie","Het Koninklijk Nederlands Genootschap voor Fysiotherapie (KNGF) in Amersfoort is dé beroepsvereniging van en voor fysiotherapeuten in Nederland met meer dan 18.500 leden en 27.500 geregistreerden in ons kwaliteitsregister. Wij bevorderen de kwaliteit van het vak, behartigen de belangen van de fysiotherapeuten, positioneren fysiotherapie en de fysiotherapeut en ondersteunen fysiotherapeuten met advies en diensten.","Hospitals and Health Care","51-200 employees","Non Profit","Amersfoort, Utrecht","Netherlands","kngf.nl","https://www.linkedin.com/company/kngf",
,"IVA Driebergen","IVA Driebergen is dé Business School op Mbo- en Hbo-niveau. De opleiding heeft twee studierichtingen; Automotive Business Management  en Nautisch Business Management.

Je krijgt een breed vakkenpakket met o.a.; economie, marketing, management, verkoop en techniek. De kleinschalige particuliere school leidt in eerste instantie op tot commerciële en managementgerichte beroepen in de automotive en de nautische sector. Ook geeft de opleiding een uitstekende start voor andere sectoren in het bedrijfsleven. Studenten met interesse in auto’s of watersport vinden bij IVA Driebergen een leuke, gestructureerde studie met een uitstekende aansluiting naar een baan. Autoverkoop, technisch manager, economische en management functies, jachtmakelaar,... noem de bedrijven maar op en er werken wel IVA-studenten.

Bedrijven zoeken de beste mensen. ‘De beste worden’ begint met de juiste opleiding. Met een diploma van IVA Driebergen op zak heb je die uitstekende basis voor jouw start in het bedrijfsleven.","Higher Education","51-200 employees","Privately Held","Driebergen, utrecht","Netherlands","iva.nl","https://www.linkedin.com/company/iva-driebergen",
,"Artsenfederatie KNMG","De KNMG (Koninklijke Nederlandsche Maatschappij tot bevordering der Geneeskunst) gaat voorop voor dokter en zorg. Dat doen we om ervoor te zorgen dat artsen hun vak op de best mogelijke manier kunnen uitvoeren.

We waarborgen de kwaliteit van het vak door het opleiden en (her)registreren van artsen en stellen gedragsregels op.

We begeleiden dokters bij ethisch juridische dilemma’s, denk aan euthanasie en dementie.

Door dilemma’s van collega-artsen te delen bieden we herkenning, steun en advies. Met richtlijnen geven we handvatten voor de beroepsuitoefening in de praktijk.

Bij belangrijke ontwikkelingen en thema’s nemen we de regie. We voorzien we artsen van de nodige informatie. Bijvoorbeeld bij het onderwerp geneeskundige verklaring en nieuwe wetgeving. 

In de maatschappij en politiek zorgen we er met onze federatiepartners voor dat de stem van ruim 65.000 artsen en studenten geneeskunde gehoord wordt. We behartigen hun belangen zodat zij goede zorg kunnen leveren.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht","Netherlands","knmg.nl","https://www.linkedin.com/company/knmg",
,"Dutch Hospital Association","The Dutch Hospital Association (NVZ) is the trade association for general hospitals and specialist institutions in the Netherlands. In 2016, the NVZ celebrated its 25th anniversary. We represent the interests of our members where healthcare, the economy, and society are concerned.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht","Netherlands","nvz-ziekenhuizen.nl","https://www.linkedin.com/company/nvz-nederlandse-vereniging-van-ziekenhuizen",
,"Anatomy & Physiotherapy","Anatomy & Physiotherapy promotes evidenced based physiotherapy to colleagues, students and educational institutes. It encourages the intensive use of literature and life long learning. It reaches about unique 270,000 followers, worldwide, and is rapidly growing every day. The team of Anatomy & Physiotherapy is international and 60 people strong.","Hospitals and Health Care","51-200 employees","Educational","Amersfoort, Utrecht","Netherlands","anatomy-physiotherapy.com","https://www.linkedin.com/company/anatomy-&-physiotherapy",
,"Nevi","Nevi is the knowledge network for procurement, contract and supply management. Fueled by visions and insights from business, public sector education and science, we bundle and explain all facets of procurement.
We share this in-depth knowledge: in our association of 7,000 professionals who inspire and stimulate each other. In targeted education, training and events for everyone who wants to continue in our wonderful profession. And in innovative joining forces with social and commercial partners.
In this way, we jointly take procurement to a higher level.
Nevi. Procurement in perspective","Education Administration Programs","51-200 employees","Educational","Zeist, Utrecht","Netherlands","nevi.nl","https://www.linkedin.com/company/nevi",
,"Copernicus Institute of Sustainable Development, Utrecht University","The Copernicus Institute is the scientific institute for sustainability research and teaching at Utrecht University. We contribute to the transition to a sustainable society through research that is both scientifically excellent and societally relevant. 

With about 300 staff members, we tackle societal problems in an inter- and transdisciplinary manner. We aim to make a difference – in science and education, and in society at large – in the exploration of a sustainable world.","Higher Education","51-200 employees","Educational","Utrecht, Utrecht","Netherlands","uu.nl","https://www.linkedin.com/company/copernicus-institute-of-utrecht-university",
,"KNMT","De KNMT is de beroepsvereniging van tandartsen, orthodontisten en kaakchirurgen. We werken aan optimale omstandigheden waaronder onze leden hun werk kunnen doen. En we willen de beste mondzorg voor hun patiënten.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht, Utrecht","Netherlands","knmt.nl","https://www.linkedin.com/company/knmt",
,"Voeding Leeft","Leefstijl werkt, wij maken het mogelijk.

Dat leefstijl de basis is van ziekte is voor ons vanzelfsprekend. Het systeem behandelt het nog als bijzaak. Dat willen we veranderen. 

Wij ontwikkelen leefstijlinterventies die werken en voor elke dag. Al onze programma’s zijn wetenschappelijk onderbouwd, met een grote dosis gezond verstand. 

Concreet doen we dat met:
* Leefstijlprogramma’s voor mensen met een chronische aandoening
* Nascholingen voor artsen, wetenschappers en andere professionals
* Programma’s voor organisaties en bedrijven

Wij maken leefstijl leuk, makkelijk en haalbaar. We weten precies wat eten, bewegen, ontspannen en slapen met het lichaam doet. We zijn ervoor opgeleid en doen het zelf al jaren. Dat doen we met aandacht, liefde en een gigantisch doorzettingsvermogen. Zónder winstoogmerk. 

Een paar mijlpalen:
- We zijn begonnen in 2011 met niks
- In 15 jaar hebben we meer dan 11 duizend mensen geholpen gezonder te leven
- En 700 artsen opgeleid, waarvan maar eentje met tegenzin. 
- Ons programma Keer Diabetes2 Om is door de EU uitgeroepen als 'best practice'

We zijn nog lang niet klaar! Met een team van 60 mensen blijven we bouwen aan een zorgsysteem waarin leefstijl de norm. Zodat wat voor ons logisch is, dat ook wordt voor de rest van de wereld.","Hospitals and Health Care","51-200 employees","Non Profit","Amsterdam, Noord Holland","Netherlands","voedingleeft.nl","https://www.linkedin.com/company/voeding-leeft",
,"Nedap Ons","Meer tijd voor zorg | 
Nedap Ons is er voor mensen in de zorg. 
Met Nedap Ons ben je als zorgorganisatie verzekerd van een softwaresuite die het volledige zorgproces ondersteunt. Van intake tot opname en van registratie tot declaratie, op locatie of onderweg.","Hospitals and Health Care","51-200 employees","Public Company","Groenlo, Gelderland","Netherlands","nedap-ons.nl","https://www.linkedin.com/company/nedap-ons",
,"Zorgstandaard Dementie","De Zorgstandaard Dementie beschrijft wat goede zorg en ondersteuning is voor mensen met dementie en hun naasten. Samenhangend, persoonsgericht en integraal. Het programma Implementatie Zorgstandaard Dementie werkt samen met de regionale dementie netwerken in Nederland aan de implementatie van deze zorgstandaard. Een belangrijk hulpmiddel om ondersteuning op het juiste moment te kunnen bieden.","Hospitals and Health Care","51-200 employees","Government Agency","Utrecht","Netherlands","zorgstandaarddementie.nl","https://www.linkedin.com/company/zorgstandaarddementie",
,"University of Humanistic Studies","De Universiteit voor Humanistiek is een kleine, onafhankelijke universiteit in Utrecht. Wij laten ons in ons onderwijs en onderzoek inspireren door het humanisme en richten ons op eigentijdse vragen rondom zingeving, levensbeschouwing en de inrichting van een menswaardige samenleving. Onze wetenschappers gebruiken hierbij hun expertise uit de sociale wetenschappen en de geesteswetenschappen. 

#humanistiek #psychologie #sociologie #zorgethiek #burgerschap #filosofie #zingeving #rituelen

EN: 
The University of Humanistic Studies (Universiteit voor Humanistiek) is a renowned academic centre of knowledge inspired by the humanist body of thought. This body of thought is part of a long-standing tradition and is – perhaps now more than ever – relevant and very much alive. The university explores contemporary issues dealing with (care) ethics, our worldview and the way we give meaning to life. 

The University of Humanistic Studies at Utrecht is the youngest university in The Netherlands. It is also the only university offering  degree programmes in Humanistic Studies, Care Ethics and Citizenship, Professionalism and Civil Society. The university was founded in 1989 and has started to make its mark both in the academic world and beyond. Fully recognised and funded by the government of The Netherlands, the university distinguishes itself from other universities by the unique multi-disciplinary course that it offers, and by its size.","Higher Education","51-200 employees","Educational","Utrecht, Utrecht","Netherlands","uvh.nl","https://www.linkedin.com/company/universiteitvoorhumanistiek",
,"ROVC Technische Opleidingen","ROVC is marktleider op het gebied van trainingen en opleidingen voor technisch Nederland. Jaarlijks volgen meer dan 13.000 mensen een praktijkgerichte opleiding bij ROVC met als doel efficiënter, daadkrachtiger en competenter te functioneren. ROVC adviseert en ondersteunt daarnaast honderden organisaties bij het realiseren en implementeren van een effectief opleidingsbeleid. Betrokkenheid bij uw markt, organisatie en medewerkers staat in onze werkwijze centraal.","Education Administration Programs","51-200 employees","Educational","Ede, Gelderland","Netherlands","rovc.nl","https://www.linkedin.com/company/rovc-technische-opleidingen",
,"myTomorrows","Our mission is to enable earlier and better access to all possible treatment options. We aim to break barriers for eligible patients to receive information on and enroll in clinical trials and expanded access programs by providing a single digital platform to connect all stakeholders of pre-approval access. 

Patients and physicians come to us to stay informed about clinical trials and expanded access programs and guidance on how to access them. Our Patient Navigators are an essential point of contact for patients during their entire journey. We always provide these services free of charge to them. 

We support BioPharma companies by making their clinical trials and expanded access programs more accessible. We charge BioPharma companies for our services, which include supporting clinical trial recruitment and managing international expanded access programs, logistics, quality management, distribution, and real-world data collection. 

myTomorrows has offices in Amsterdam, New York City and India, and operates globally. We have helped over 14,000 patients and 2,200 physicians and over 200 sites worldwide.","Hospitals and Health Care","51-200 employees","Privately Held","Amsterdam, Noord Holland","Netherlands","mytomorrows.com","https://www.linkedin.com/company/mytomorrows",
,"ZorgDomein","Al 25 jaar zetten wij ons in om met slimme technologie meer ruimte te maken voor mensenwerk in de zorg. Goede zorg draait om mensenwerk. Met persoonlijke aandacht en zorg voor de patiënt. Maar tijd die zorgprofessionals willen besteden aan het welzijn van hun patiënt, gaat vaak op aan andere werkzaamheden. Op ons zorgplatform brengen we zorgvraag en -aanbod samen. We helpen zorgverleners met het vinden, kiezen en regelen van de best mogelijke zorg voor hun patiënt. Sneller, makkelijker en beter.

De juiste informatie, op het juiste moment, op de juiste plek draagt bij aan betere doorstroming van het patiëntenverkeer. Zo helpen we zorgtrajecten zo goed en efficiënt mogelijk te laten verlopen. ZorgDomein is het meest gebruikte digitale zorgplatform van Nederland om te verwijzen naar vervolgzorg.","Hospitals and Health Care","51-200 employees","Privately Held","Breukelen, Utrecht","Netherlands","zorgdomein.com","https://www.linkedin.com/company/zorgdomein",
,"Marnix Academie","Protestants Christelijke Lerarenopleiding Basisonderwijs in Utrecht, de beste pabo van Regio Midden-Oost","Higher Education","51-200 employees","Non Profit","Utrecht, Utrecht","Netherlands","marnixacademie.nl","https://www.linkedin.com/company/marnix-academie",
,"Patiëntenfederatie Nederland","Patiëntenfederatie Nederland zet zich in voor het 'Realiseren van vraaggestuurde zorg voor patiënten en consumenten vanuit het patiëntenperspectief, uitgaande van solidariteit, keuzevrijheid en behoud van persoonlijke autonomie'.

wij zijn een samenwerkingsverband van (koepels van) patiënten. De lidorganisaties zijn actief op de volgende werkterreinen: mensen met een lichamelijke beperking, verstandelijk gehandicapten, psychiatrie, verpleging en verzorging en curatieve zorg (ziekenhuiszorg, huisartsenzorg). De federatie fungeert als platform voor gemeenschappelijke beleidsontwikkeling en belangenbehartiging op inhoudelijke thema's.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht , Utrecht","Netherlands","patientenfederatie.nl","https://www.linkedin.com/company/patientenfederatie",
,"Huisarts en Wetenschap","Wilt u als huisarts op de hoogte wil blijven van wetenschappelijke ontwikkelingen op uw vakgebied? Lees en/of luister dan Huisarts en Wetenschap. Dagelijks publiceren we nieuwe artikelen online waarover we onze lezers via de wekelijkse nieuwsbrief informeren. Elke maand valt het papieren tijdschrift op de deurmat en brengen wij een podcast uit. We brengen relevant en state of the art onderzoek, actuele beschouwingen, prikkelende opinies, informatieve interviews en praktijkgerichte casuïstiek en nascholing. Ook updates over NHG-richtlijnen vindt u in H&W, net als nieuws van de vereniging NHG.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht, Utrecht","Netherlands","henw.org","https://www.linkedin.com/company/huisarts-wetenschap",
,"APS","Stichting APS is een not-for-profit onderwijsinstituut op het gebied van leren, onderwijsvormgeving, schoolontwikkeling en leiderschap.","Education Administration Programs","51-200 employees","Educational","Utrecht","Netherlands",,"https://www.linkedin.com/company/aps",
,"YEARTH Academy","Het volledige potentieel uit professionals, teams en organisaties halen: dat is YEARTH! Onze ambitie is niet om de grootste opleider te zijn, maar de absolute top op het gebied van training en coaching. Wij ontwikkelen High Impact Trainingsprogramma’s met een sterke focus op kwaliteit en innovatie. Omdat wij het leuk vinden om elke keer weer de verwachtingen van onze deelnemers te overtreffen.
 
YEARTH Academy is voor het 10e jaar op rij verkozen tot Beste Opleider van het jaar, trots!

YEARTH consultants, trainers en coaches beschikken over een gedegen opleiding, ruime praktijkervaring en een no-nonsense mentaliteit. Door onze jarenlange ervaring, nauwe verbondenheid met de dagelijkse praktijk en een sterke resultaatgerichtheid, begrijpen wij wat er leeft bij professionals en organisaties en dragen wij zorg voor trainingen met resultaat.

Ervaar wat vele duizenden deelnemers en organisaties inmiddels hebben ervaren en leer hoe je kunt leven en werken vanuit je volledige potentieel.","Education Administration Programs","51-200 employees","Privately Held","Naarden, Noord-Holland","Netherlands","yearth.nl","https://www.linkedin.com/company/yearth",
,"Npuls","Our tertiary education is building for the future in Npuls. So learners can continuously enjoy the best education and they can learn without barriers.

Npuls is an eight-year programme funded by the National Growth Fund.","Education Administration Programs","51-200 employees","Non Profit","Utrecht, Nederland","Netherlands","npuls.nl","https://www.linkedin.com/company/npuls",
,"Boertien Vergouwen Overduin","Boertien Vergouwen Overduin is hét trainingsinstituut van Nederland. Speciaal gericht op werkenden. Met een focus op het rendement van de training, voor zowel het individu als de organisatie. Met meer dan 30 jaar ervaring zijn wij de uitvinders van het resultaatgerichte trainingsvak. We hebben dat vak doorontwikkeld en blijven het voortdurend vernieuwen. Aspecten als 70-20-10, blended learning, brainbased, wij hebben ze toepasbaar gemaakt. Wetenschappelijke inzichten vertaald naar de praktijk. De praktijk van onder andere de top 500 bedrijven in ons land. Inmiddels zijn wij onderdeel van NCOI Groep.

Met het meest kwalitatieve en uitgebreide assortiment zijn wij leidend in open-lijntrainingen. We bieden trainingen op alle niveaus, voor alle werkenden van Nederland. Van gesprekstechniek tot en met een volledige Leadership Academy. Innovatief, to the point en direct toepasbaar. Gegeven door de meest professionele trainers en afgerond met waardevolle certificaten.

Voor organisaties die behoefte hebben aan resultaatgerichte maatwerktrainingen, zijn wij de ideale learningpartner. Door onze jarenlange ervaring, onze bijzondere visie op leren, onze innovatieve denkkracht en onze creatieve werkvormen, weten wij als geen ander uw organisatievraagstukken te vertalen naar de individuele trainingsbehoeften van uw medewerkers. Zie ons als architecten die weten wat bij specifieke organisaties en deelnemers het beste werkt. Die daardoor in staat zijn precies de juiste maatwerkprogramma’s samen te stellen. In nauwe co-creatie met u, eventueel aangevuld met de expertise van onze partners binnen NCOI Groep. Ons uitgekiende projectmanagement verzekert u daarbij van een soepel proces. Kortom, met onze expertise en onze maatwerktrainingsprogramma’s presteert uw organisatie beter. Wat uw trainingsvraagstuk ook is.","Education Administration Programs","51-200 employees","Educational","Hilversum, Noord-Holland","Netherlands","bvo.nl","https://www.linkedin.com/company/boertiengroep",
,"Dutch Health Hub","Het contentplatform waar professionals en organisaties uit zorg & life sciences elkaar online en live ontmoeten.","Hospitals and Health Care","51-200 employees","Public Company","Utrecht, Utrecht","Netherlands","dutchhealthhub.nl","https://www.linkedin.com/company/dutch-health-hub",
,"Wittenborg University of Applied Sciences","Wittenborg University of Applied Sciences is a private, international business school in Apeldoorn, the Netherlands, offering a wide range of double-accredited undergraduate and postgraduate programmes, fully taught in English with an international and personal approach. All programmes have six entrance dates a year. Some programmes can also be followed in Amsterdam, the Netherlands, and Munich, Germany.","Higher Education","51-200 employees","Educational","Apeldoorn, Gelderland","Netherlands","wittenborg.nl","https://www.linkedin.com/company/wittenborg-university-of-applied-sciences",
,"Business School Netherlands","Business School Netherlands is a multi-accredited Dutch business school offering blended learning and online executive programmes. 

We train great leaders who are responsible, results-driven, change-oriented and make well-informed decisions. 

With 12 locations, 5 languages and a unique focus on Action Learning, BSN offers a truly international education experience to professionals and leaders.","Higher Education","51-200 employees","Educational","Buren, Gelderland","Netherlands","bsn.eu","https://www.linkedin.com/company/business-school-netherlands",
,"Snappet","More than three thousand elementary schools now use Snappet for their core curriculum teaching. Snappet is more than digital learning: it offers teachers innovative tools to make excellent teaching easier. In combination with the best (adaptive) material and the insight that teachers get, this ensures (scientifically-proven) higher learning results for every student.","Primary and Secondary Education","51-200 employees","Educational","Utrecht","Netherlands","snappet.org","https://www.linkedin.com/company/snappet",
,"Wageningen Human Nutrition and Health","The mission of the Division of Human Nutrition and Health at Wageningen University is “To improve global health and well-being through better nutrition”. In broader terms, the mission is to generate and exchange knowledge in the area of nutrition and health-in interaction with peers and partners-by excellent education and research using our unique expertise and competences”.

By integrating the complementary expertise of the five chair groups, the Division is perfectly organized to promote and pursue a multidisciplinary approach in nutrition research at the level of the cell, the individual, and the population. Being united under the umbrella of the Division permits the five chair groups to operate more efficiently, more coherently and more forcefully in the competitive global academic environment. One of the unique features of the Division is the ability to cover the full causal chain from determinants of food choice and dietary assessment, to detailed quantification and characterization of health and disease using state-of-the-art methodology, and investigation of the underlying molecular mechanisms. 

The five chair groups of  Division of Human Nutrition and Health:
•	Nutrition, Metabolism & Genomics                Prof. Sander Kersten
•	Nutrition & Pharmacology                              Prof.  Renger Witkamp
•	Sensory Science & Eating Behaviour               Prof. Kees de Graaf
•	Nutrition & Health over the Life course          Prof.  Edith Feskens
•	Nutrition & Disease                                         Prof. Ellen Kampman","Higher Education","51-200 employees","Educational","Wageningen, Gelderland","Netherlands","wur.nl","https://www.linkedin.com/company/human-nutrition-and-health",
