"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Update People Search (Find people Table) - 2026-02-13T07:37:40.083Z"
,"ROC van Amsterdam","ROC van Amsterdam is met circa 26.000 studenten  en  ruim 300 mbo-opleidingen een van  de grootste aanbieders van mbo-opleidingen in Nederland. ROC van Amsterdam biedt opleidingen aan in bijna alle branches in Amsterdam, Amstelveen, Hilversum en Hoofddorp. De opleidingen zijn verdeeld over 14 hoofdrichtingen (onderwijsdomeinen). Ons onderwijs  geven we op negen mooie en moderne MBO Colleges.  Tevens bieden wij voortgezet onderwijs aan het VAVO (Joke Smit)

Werken bij het ROC van Amsterdam betekent werken bij één van de grootste onderwijsinstellingen van Nederland. Vanuit goed bereikbare, moderne en goed gefaciliteerde (school)gebouwen in de regio Groot-Amsterdam bereiden wij onze studenten voor op een plek op de arbeidsmarkt of een vervolgopleiding. 

ROC van Amsterdam als werkgever: Podium voor Talent
Niet alleen voor onze studenten, maar ook voor onze medewerkers willen wij een podium voor talent zijn. Om medewerkers daarin te stimuleren hebben wij ruime scholingsmogelijkheden en een eigen Post-HBO gecertificeerde Incompany scholing voor docenten. 

Een goede onderwijskwaliteit staat en valt met het werken met goede mensen.
Het HR beleid van het ROC van Amsterdam richt zich op de verdere ontwikkeling en de professionaliteit van al onze medewerkers. Scholing, training, intervisie, persoonlijke ontwikkeling en groeien in je vak zijn een wezenlijk onderdeel van ons beleid. 

Voor vragen of een open sollicitatie: mobiliteitsbureau@rocva.nl of (020) 579 10 00","Education Administration Programs","1,001-5,000 employees","Educational","Amsterdam, Noord-Holland","Netherlands","rocvanflevoland.nl","https://www.linkedin.com/company/roc-van-amsterdam-flevoland",
,"Hogeschool Leiden","Binnen Hogeschool Leiden wordt gewerkt vanuit passie, talent en menselijke maat. Vanuit respect voor de ander zijn wij betrokken bij de samenleving, betrokken bij het werkveld, betrokken bij ons vak. 

Onze passie blijkt onder meer uit onze betrokkenheid bij de maatschappij en die komt tot uiting in de onderwerpen die wij in onze opleidingen centraal zetten. Daarom zijn belangrijke thema’s zoals internationalisering, diversiteit en duurzaamheid in ons onderwijs verweven. Persoonlijk contact is cruciaal voor ons onderwijs en ons werk. Persoonlijk contact waarin we elkaar niet alleen bemoedigen om een talent te ontwikkelen, maar waarin we elkaar ook opbouwend kritisch en respectvol aanspreken en professionele feedback geven.  

De ontwikkeling van het talent van onze studenten en medewerkers is de leidraad voor het succes van het onderwijs dat wij aanbieden. Wij halen het beste in onszelf en de ander naar boven. Wij gaan voor menselijke maat; wij kennen elkaar; het is mogelijk om eigenheid te tonen en eigen’wijs’ te zijn.","Higher Education","1,001-5,000 employees","Educational","Leiden, Zuid-Holland","Netherlands","hsleiden.nl","https://www.linkedin.com/company/hogeschool-leiden",
,"ROC Midden Nederland","ROC Midden Nederland is one of the leading colleges for vocational and apprenticeship training. About 2200 employees are working hard to educate and facilitate about 26.000 students.
We provide education in four levels in the following departments:
Tourism and Leisure & Events, Technique, Design & Creativity, Economy,","Higher Education","1,001-5,000 employees","Educational","Utrecht","Netherlands","rocmn.nl","https://www.linkedin.com/company/roc-midden-nederland",
,"Sanquin","Sanquin zorgt voor een veilige en efficiënte inzameling, productie en levering van plasma en van bloed- en celproducten voor de behandeling van patiënten. Daarnaast biedt Sanquin complexe diagnostiek, hoogwaardig wetenschappelijk onderzoek en educatie met een focus op transfusiegeneeskunde, hematologie, oncologie en immunologie. Vanaf het terrein van het New West Health & Innovation District, rondom het hoofdkantoor van Sanquin in Amsterdam, biedt Sanquin bovendien een internationaal platform aan innovatieve bedrijven en organisaties die in bovenstaande gebieden werken. Alles met een focus op betere gezondheid voor donors en patiënten.","Hospitals and Health Care","1,001-5,000 employees","Non Profit","Amsterdam, Noord-Holland","Netherlands","sanquin.nl","https://www.linkedin.com/company/sanquin",
,"Antoni van Leeuwenhoek","Het Antoni van Leeuwenhoek behoort al decennia tot de absolute wereldtop in de unieke verbinding van zorg en onderzoek die voor kankerpatiënten het verschil maakt. Werken bij het Antoni van Leeuwenhoek betekent werken bij een befaamd onderzoeksinstituut en in een ziekenhuis dat landelijke bekendheid geniet. Het AVL koos 100 jaar geleden al voor de grensverleggende weg door onderzoek en specialistische zorg samen te voegen met één scherp gedefinieerd doel: de beste behandelingen bieden aan patiënten. Deze mentaliteit is terug te vinden in alle lagen van de organisatie en vertaalt zich in een menselijke aanpak. Als collega kan jij dan ook een belangrijke bijdrage leveren aan het realiseren van ons gezamenlijke doel.

Voor een succesvolle strijd tegen kanker is het Antoni van Leeuwenhoek aangewezen op daadkrachtige en betrokken medewerkers. Ons succes is dan ook te danken aan 2435 gemotiveerde en gepassioneerde collega’s. Of je binnen het AVL nu werkt als medisch specialist, onderzoeker, medewerker in de ambulante zorg, radiologie, radiotherapie, verpleging of ondersteunende diensten, iedereen wil bijdragen aan de goede reputatie van het Antoni van Leeuwenhoek. Werken in ons oncologisch ziekenhuis vraagt dan ook om mensen die het beste uit zichzelf willen halen, door leergierig, nuchter en kritisch te zijn.

Het Antoni van Leeuwenhoek is een organisatie waar medewerkers gemakkelijk bij elkaar binnenlopen en elkaar bij naam kennen. Daardoor zijn de lijnen kort en is er een prettige informele werksfeer. De komende jaren staan in het teken van onze groeiambitie. Hierbij hebben we de toewijding, collectieve intelligentie en het grensverleggende karakter van alle medewerkers nodig. We vragen dan ook veel van hen, maar zij krijgen daar ook veel voor terug. Zo is er ruimte voor nieuwe initiatieven, eigen ideeën en persoonlijke ontwikkeling. Zaken als salaris en secundaire arbeidsvoorwaarden zijn daarbij goed geregeld.","Hospitals and Health Care","1,001-5,000 employees","Non Profit","Amsterdam, Noord Holland","Netherlands","avl.nl","https://www.linkedin.com/company/antoni-van-leeuwenhoek",
,"Prinses Máxima Centrum voor kinderoncologie","Het Prinses Máxima Centrum voor kinderoncologie is een uniek initiatief van ouders van kinderen met kanker en professionals in de kinderoncologie in Nederland om alle top-expertise op zorg- en onderzoeksgebied samen te voegen in één nationaal centrum. Dit is nodig omdat kanker nog steeds de meest voorkomende doodsoorzaak door ziekte is op jonge leeftijd en het genezingspercentage in de afgelopen 10 jaar nauwelijks is toegenomen. Concentratie van de behandeling van en het onderzoek naar alle vormen van kinderkanker in één centrum is een wezenlijke stap naar betere kwaliteit en hogere overlevingskansen.","Hospitals and Health Care","1,001-5,000 employees","Non Profit","Utrecht","Netherlands","prinsesmaximacentrum.nl","https://www.linkedin.com/company/prinses-m-xima-centrum-voor-kinderoncologie",
,"Koninklijke Kentalis","Koninklijke Kentalis provides care and cure for adults and children for whom the ability to hear and communicate is not a matter of course. 17 schools for children with special needs are part of the organisation. Kentalis has multiple locations all over the Netherlands.","Hospitals and Health Care","1,001-5,000 employees","Non Profit","Utrecht, Utrecht","Netherlands","kentalis.nl","https://www.linkedin.com/company/koninklijke-kentalis",
,"Deltion College","Het Deltion College is een Regionaal Opleidingen Centrum (ROC) dat actief is in bijna alle werkvelden. 
Het college verzorgt voor ruim 16.000 jongeren en volwassenen beroepsonderwijs op middelbaar niveau. 

Bij Deltion werken ruim 1.200 mensen in onderwijsgevende en ondersteunende functies. 
Het Deltion College is een overzichtelijke organisatie. Alle opleidingen zijn samengevoegd in elf clusters. Elk cluster bestaat uit een aantal opleidingsteams, elk met een eigen sfeer en een vaste groep leraren. Door deze decentrale opzet heeft iedere student een eigen stamgroep en een eigen lerarenteam.","Education","1,001-5,000 employees","Educational","Zwolle","Netherlands","deltion.nl","https://www.linkedin.com/company/deltion-college",
,"iHub onderwijs & familiezorg","Bij iHub geven we jeugdzorg, speciaal onderwijs en jeugd-ggz vorm onder één dak. 
Met een combinatie van zorg en onderwijs bieden we een passend aanbod aan kinderen en hun familie die dat nodig hebben.","Hospitals and Health Care","1,001-5,000 employees","Non Profit","Rotterdam, Zuid-Holland","Netherlands","ihub.nl","https://www.linkedin.com/company/ihub-groep",
,"Van Hall Larenstein University of Applied Sciences","Hogeschool Van Hall Larenstein mag zich met recht de duurzaamste hogeschool van Nederland noemen. Voor ons is duurzaamheid het hart van alles wat we bedenken en doen. In ons onderwijs, in ons onderzoek, in onze bedrijfsvoering en in onze samenwerkingen. 

Niet voor niets hebben al onze bacheloropleidingen drie sterren bij het keurmerk Duurzaam Hoger Onderwijs van AISHE. Als eerste hogeschool zijn we MVO-‘erkend’. En al jaren staan we boven aan de ranglijst van SustainaBul.

Als University of Applied Sciences verbinden we mensen die willen samenwerken aan een betere aarde. We leiden hen op tot ambitieuze professionals. Met bachelor- en masteropleidingen, associate degrees, cursussen en onderzoek. Op onze locaties in Leeuwarden en Velp. Zodat zij hun idealen kunnen vertalen in innovaties, beleid, verdienmodellen en impact.

Samen bouwen wij aan een duurzame en toekomstbestendige wereld. Bouw jij mee?","Higher Education","501-1,000 employees","Educational","Velp, Gelderland","Netherlands","hvhl.nl","https://www.linkedin.com/company/van-hall-larenstein-university-of-applied-sciences",
,"HKU (Hogeschool voor de Kunsten Utrecht)","HKU University of the Arts Utrecht offers preparatory courses, bachelor's and master's programmes and research degrees in fine art, design, music, theatre, media, games and interaction and arts management. 

HKU University of the Arts Utrecht is one of the largest art and culture-oriented institutes in Europe.","Higher Education","501-1,000 employees","Educational","Utrecht, Utrecht","Netherlands","hku.nl","https://www.linkedin.com/company/hku",
,"Koning Willem I College","Koning Willem I College is een plek waar talent tot bloei komt. Een plek waar de mooiste dingen ontstaan, doordat we experimenteren, inspireren en vooral: doen. 

Onze studenten maken het verschil met hun vakmanschap, jaloersmakende vaardigheden en praktische ideeën. Nu en in de toekomst. Want ontwikkelen stopt niet na het behalen van een diploma. Het gaat een leven lang door. Wij zijn trots om daaraan bij te dragen.

Samen met onze partners; regionale werkgevers, overheid en andere onderwijsinstellingen, zorgen wij voor ontwikkeling en behoud van talent in de regio Noordoost – Brabant. Binnenkort ook in Rivierenland (vanaf 2027). 

Het Koning Willem I College leidt talent op voor de regio Noordoost – Brabant. Dat betekent dat wij ons onderwijs afstemmen op de behoeftes van het regionale werkveld. Dit doen wij in overleg met onze omgeving, vertegenwoordigd in de Omgevingsraad. Zo dragen wij samen bij aan een succesvolle toekomst voor onze studenten en de groei van de economie in de regio. De Omgevingsraad heeft een besloten groep op LinkedIn:  https://www.linkedin.com/groups/15322035/

Onze alumnipagina vind je hier: https://www.linkedin.com/company/a-academy-de-alumnivereniging-kw1c/?viewAsMember=true","Education","1,001-5,000 employees","Educational","‘s-Hertogenbosch","Netherlands","kw1c.nl","https://www.linkedin.com/company/koning-willem-i-college",
,"Jeroen Bosch Ziekenhuis","Ons uitgangspunt is dat jij de zorg verdient die bij je past, dichtbij en op jouw manier geboden. Samen bepalen we wat je nodig hebt en van wie. Wij zetten daarvoor al onze expertise in, en zoeken de samenwerking, bijvoorbeeld met familie en vrienden, je huisarts, de gemeente en thuiszorg. Zodat jij zo lang mogelijk kan leven zoals jij dat wilt. Daar staan wij voor als Jeroen Bosch Ziekenhuis. Gewoon, omdat jij ertoe doet.

We hebben in 2017 het begrip positieve gezondheid omarmd. Werken vanuit positieve gezondheid betekent voor ons een nieuwe manier van kijken en werken. De focus ligt op gezondheid en niet op ziekte en we gaan uit van wat mensen wél kunnen. Daarnaast spelen informatie- en zorgtechnologie een grote rol om zorg op maat en dichtbij te kunnen brengen.

ONDERWIJS EN OPLEIDEN
Opleiden vinden we belangrijk; wij leveren immers de zorgverleners van de toekomst. Als één van de grootste opleidingsziekenhuizen van Nederland, begeleiden we jaarlijks 250 verpleegkundestudenten, 350 co-assistenten en 88 arts-assistenten. Speciale aandacht is er voor de verdere professionalisering van de verpleegkundige beroepsgroep. We stimuleren en faciliteren onze (student) verpleegkundigen om zich op te stellen als coach voor collega’s, en kartrekken van projecten.

Niet voor niets zijn we al 15 jaar lid van de Stichting Topklinische Ziekenhuizen. Met deze titel laten we zien een bovengemiddeld ziekenhuis te zijn met bijzondere aandacht voor topklinische zorg, opleiden en wetenschappelijk onderzoek.","Hospitals and Health Care","1,001-5,000 employees","Non Profit","'s-Hertogenbosch, Noord-Brabant","Netherlands","jeroenboschziekenhuis.nl","https://www.linkedin.com/company/jeroen-bosch-ziekenhuis",
,"ROC Mondriaan","ROC Mondriaan offers excellent secondary vocational education for young people and adults, especially in the region 'Haaglanden'. In order to do this we offer 200 different courses, grouped in recognizable schools, well spread over the region, both given in full-time and part-time. ROC Mondriaan offers everyone who is well willing an appropriate (professional) education and works closely with municipalities, secondary education, higher education, companies and institutions. ROC Mondriaan wants to prepare its students for further education and the (future) labor market and therefore pays a great deal of attention to innovation and to (world) citizenship.","Education","1,001-5,000 employees","Educational","Den Haag, Zuid-Holland","Netherlands","rocmondriaan.nl","https://www.linkedin.com/company/roc-mondriaan",
,"ArtEZ University of the Arts","ArtEZ University of the Arts is de thuisbasis voor een diverse, internationale gemeenschap van studenten, docenten en onderzoekers die bij ons de ruimte vinden voor artistieke, intellectuele en persoonlijke groei.

Kunst bindt ons. Kunst zet aan tot vernieuwende ideeën en alternatieve denkwijzen. Ons motto is: kunst verandert. Art changes.

Met inspirerend kunstonderwijs op hbo bachelor- en masterniveau en toonaangevend artistiek onderzoek creëert ArtEZ de plek waar je een verschil kunt maken, in de kunst én in de samenleving. We bieden kunstonderwijs in architectuur, beeldende kunst, dans, fashion, muziek, schrijven, theater en design – en we formuleren antwoorden op een veranderende samenleving en maatschappelijke uitdagingen vanuit vijf gespecialiseerde lectoraten die zorgen voor onderwijsvernieuwing en theorievorming.

Vanuit Arnhem, Enschede en Zwolle zijn 900 docenten, onderzoekers en andere medewerkers dagelijks bezig met kunst en - het belang van - kunstonderwijs. Word jij één van hen? Kijk op vacatures.artez.nl voor meer informatie en actuele vacatures.","Higher Education","501-1,000 employees","Educational","Arnhem, Gelderland","Netherlands","artez.nl","https://www.linkedin.com/company/artezuniversityofthearts",
,"HAS green academy","HAS green academy is an University of applied sciences and centre of expertise in the south of the Netherlands for the sectors:
- food
- agriculture and horticulture
- green open spaces
- nature and environment
- agribusiness. 

HAS green academy takes pride in its business-oriented and practical approach to education.

The Top Strengths of HAS green academy:

• A strong identity finding its origin in agribusiness
• Creative and enthusiastic staff members and management
• Modern facilities in an attractive building
• Daring, flexibility and professionalism
• Personal relationship management
• Corporate social responsibility
• Excellent links with the industry","Higher Education","201-500 employees","Educational","'s-Hertogenbosch","Netherlands","has.nl","https://www.linkedin.com/company/hasgreenacademy",
,"University of Amsterdam - Amsterdam Business School","The Amsterdam Business School (ABS) is part of the University of Amsterdam, Economics and Business. The School belongs to the 1% of the business schools in the world with a Triple Crown accreditation. It is well known for its high-quality research-based education and research with focus on business issues. Besides full-time Bachelor’s and Master’s programmes in the fields of data science, business administration, business analytics, finance, accountancy and control and entrepreneurship, ABS offers executive education to professionals who want to broaden or deepen their knowledge in their field of work.","Education Administration Programs","201-500 employees","Educational","Amsterdam, Noord Holland","Netherlands","uva.nl","https://www.linkedin.com/company/university-of-amsterdam-business-school",
,"Christelijke Hogeschool Ede","Christelijke Hogeschool Ede (Christian University of Applied Sciences)

Christelijke Hogeschool Ede (CHE) employs more than 400 staff and faculty members, and provides excellent quality, professional education to approximately 5000 students. During the years ahead, CHE wants to continue in its development as knowledge center. 
CHE offers the following bachelor degree courses:

    * Business Administration
    * ICT 
    * Human Resource Management
    * Communication
    * Journalism
    * Social Work
    * Nursing
    * Theology and Religion
    * Religious Education
    * Teacher education for primary education

The department CHE voor Professionals provides consultation, post-bachelor modules, professional training, and research.

What characterizes CHE is the combination of quality, identity, and commitment. Following a clear strategy, which is focused on key words such as Protestant-Christian identity, professional practice, and commitment, CHE wants to be of service to its students and to society.","Higher Education","501-1,000 employees","Educational","Ede, gelderland","Netherlands","che.nl","https://www.linkedin.com/company/christelijke-hogeschool-ede",
,"Zadkine","Wij zijn Zadkine, een opleider voor middelbaar beroepsonderwijs in de regio Rotterdam. Wij willen bijdragen aan het geluk van onze ruim 17.000 studenten, door ze de grootste kans op succes te bieden bij hun vervolgstap naar een baan of vervolgopleiding. We bieden een veelzijdig aanbod aan beroepsopleidingen en cursussen, gericht op de ambities, interesses, talenten én groeipotentie van onze studenten. Ons aanbod richt zich op de ambities, interesses en talenten van onze studenten én op de actuele en toekomstige vraag van de arbeidsmarkt. We ondersteunen studenten bij hun persoonlijke ontwikkeling en trekken daarbij samen op met bedrijven en overheidsinstellingen in de regio.","Education","1,001-5,000 employees","Educational","Rotterdam, Zuid-Holland","Netherlands","zadkine.nl","https://www.linkedin.com/company/zadkine",
